n_user: 974, n_item: 1015
metapath: UB, epoch 0: loss = 1600.353271, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 50: loss = 1585.849487, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 100: loss = 1543.429199, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 150: loss = 1474.627563, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 200: loss = 1381.936768, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 250: loss = 1268.719238, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 300: loss = 1139.094604, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 350: loss = 997.802368, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 400: loss = 850.053589, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 450: loss = 701.382751, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 500: loss = 557.530334, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 550: loss = 424.404175, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 600: loss = 308.224304, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 650: loss = 215.955093, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 700: loss = 155.175629, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 750: loss = 128.292450, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 800: loss = 122.656822, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 850: loss = 122.502975, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 900: loss = 126.200699, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 950: loss = 147.026291, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1000: loss = 200.190460, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1050: loss = 286.082184, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1100: loss = 397.445862, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1150: loss = 527.105225, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1200: loss = 668.728638, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1250: loss = 816.376831, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1300: loss = 964.301941, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1350: loss = 1106.955322, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1400: loss = 1239.091797, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1450: loss = 1355.908813, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1500: loss = 1453.193848, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1550: loss = 1527.458008, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1600: loss = 1576.052734, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1650: loss = 1597.257935, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1700: loss = 1590.338745, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1750: loss = 1555.569336, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1800: loss = 1494.221436, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1850: loss = 1408.519531, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1900: loss = 1301.562866, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 1950: loss = 1177.220093, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 2000: loss = 1040.000610, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 2050: loss = 894.910583, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 2100: loss = 747.306824, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 2150: loss = 602.767334, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 2200: loss = 467.017151, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 2250: loss = 345.981689, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 2300: loss = 246.069885, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 2350: loss = 174.388824, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 2400: loss = 135.879547, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 2450: loss = 123.883430, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UB, epoch 2500: loss = 122.494774, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
